"","V1","V2","V3","V4","V5","V6"
"661",2,42,4,0,0,3
"662",15,27,0,0,0,0
"663",5,13,0,0,0,0
"664",0,9,0,0,0,0
"665",7,0,0,0,0,0
"666",23,389,0,6,0,34
"667",21,339,0,3,0,24
"668",24,343,1,4,0,16
"669",49,381,0,1,0,8
"670",44,199,1,3,2,17
"671",48,166,2,3,0,4
"672",38,140,1,5,1,3
"673",38,136,1,2,0,4
"674",59,167,1,3,0,4
"675",65,136,1,6,0,4
"676",61,91,1,2,0,4
"677",31,107,1,0,0,3
"678",5,85,0,3,2,1
"679",2,59,0,1,0,1
"680",1,59,1,0,0,3
"681",0,54,0,0,0,0
"682",0,37,0,0,0,0
"683",0,7,0,0,0,0
"684",4,1,0,0,0,0
"685",76,63,0,0,0,19
"686",91,75,1,1,0,35
"687",121,92,1,2,0,34
"688",103,104,0,0,0,24
"689",52,89,0,0,0,9
"690",71,56,0,0,1,7
"691",91,49,4,3,0,7
"692",109,53,0,0,0,4
"693",147,88,0,2,0,9
"694",154,86,1,5,0,5
"695",211,89,0,2,0,15
"696",177,72,0,4,0,3
"697",109,62,0,3,0,6
"698",75,55,0,0,0,5
"699",35,38,0,0,0,4
"700",21,20,0,0,0,2
"701",11,14,0,0,0,2
"702",3,1,0,0,0,3
"703",4,0,0,0,0,0
"704",47,75,0,1,0,25
"705",71,56,0,1,0,27
"706",97,78,1,1,0,23
"707",114,103,0,0,2,24
"708",53,77,0,1,0,12
"709",57,47,0,1,0,6
"710",67,38,1,1,0,7
"711",123,62,1,0,0,5
"712",118,71,0,1,1,11
"713",148,92,1,4,0,9
"714",152,67,0,1,0,13
"715",96,61,0,3,0,3
"716",63,55,0,1,0,7
"717",37,38,0,0,0,5
"718",19,25,0,0,0,3
"719",6,28,0,0,0,3
"720",10,8,0,0,0,4
"721",1,8,0,0,0,3
"722",5,0,0,1,0,0
"723",156,54,0,9,3,41
"724",191,59,1,10,2,40
"725",209,57,2,11,2,39
"726",220,61,1,10,1,34
"727",114,56,2,4,0,17
"728",196,51,2,7,1,15
"729",201,54,1,9,3,12
"730",217,57,2,10,2,14
"731",281,61,4,12,2,8
"732",306,72,0,15,0,16
"733",286,55,0,14,1,13
"734",273,60,2,11,1,19
"735",147,43,3,9,0,7
"736",131,35,0,8,2,8
"737",60,29,3,8,0,3
"738",51,22,0,2,0,3
"739",34,11,0,0,0,0
"740",19,6,0,0,0,0
"741",11,7,0,0,0,1
"742",163,64,1,16,4,48
"743",156,50,0,11,4,43
"744",197,71,2,11,2,32
"745",202,66,2,14,2,37
"746",156,53,2,7,0,30
"747",170,51,2,7,1,14
"748",202,55,2,11,3,18
"749",195,52,2,13,2,16
"750",261,63,3,14,1,14
"751",303,58,0,23,0,18
"752",275,65,0,20,1,13
"753",197,67,1,18,2,16
"754",108,54,2,13,0,8
"755",120,33,0,8,2,6
"756",77,14,4,18,0,5
"757",57,13,0,4,0,3
"758",60,22,0,0,0,0
"759",30,9,0,0,0,0
"760",31,0,2,0,0,0
"761",29,20,0,0,0,5
"762",33,28,0,0,0,8
"763",42,43,2,1,0,14
"764",43,53,0,1,0,8
"765",36,27,1,1,1,3
"766",43,29,0,0,0,2
"767",62,23,0,0,0,4
"768",75,30,0,1,1,3
"769",81,38,0,0,1,3
"770",103,38,4,0,1,7
"771",123,54,0,1,0,12
"772",109,46,0,3,0,7
"773",66,28,0,0,0,5
"774",65,20,0,0,0,2
"775",28,13,0,0,0,2
"776",11,6,0,0,0,0
"777",14,2,0,0,0,0
"778",8,1,0,0,0,0
"779",4,0,2,0,0,0
"780",47,36,0,0,0,6
"781",39,30,0,1,0,9
"782",39,40,0,1,0,9
"783",49,49,0,2,1,8
